test_id,family,predictor,outcome,n,pearson_r,r_ci_low,r_ci_high,p,spearman_rho,spearman_p,slope,slope_ci_low,slope_ci_high,slope_p_HC3,R_squared,p_holm
adhd_total__course_mark,primary,adhd_total,course_mark,506,-0.04074040180951433,-0.12745644979964568,0.046593748412618034,0.3604300617259029,-0.032298000812771364,0.4685024093416883,-0.03964667883845367,-0.1236102709389127,0.04431691326200536,0.35400668789394396,0.0016597803396005695,1.0
inattention__course_mark,primary,inattention,course_mark,506,-0.1071461441863154,-0.19251676085384625,-0.02016580610232394,0.015901137253824908,-0.10335307781991727,0.020053228395917062,-0.17939545179159389,-0.3305789621268055,-0.028211941456382283,0.020130566171887448,0.011480296213994712,0.07950568626912455
hyperactivity__course_mark,primary,hyperactivity,course_mark,506,0.03943088552071364,-0.0479024442491388,0.12616591824832862,0.37608843181414725,0.04615489833350035,0.30010262498334705,0.07025714713834673,-0.08039633927679977,0.22091063355349322,0.35998547009264786,0.0015547947329475065,1.0
adhd_total__adjustment,primary,adhd_total,adjustment,488,-0.13859216904908667,-0.2245924137525376,-0.050449641215806196,0.0021508544727478728,-0.15301138671611864,0.0006952258707938905,-0.058179165583009444,-0.09675172941650233,-0.01960660174951656,0.003189818438812321,0.01920778932173073,0.01505598130923511
inattention__adjustment,primary,inattention,adjustment,488,-0.20474806340326301,-0.28827213465740703,-0.1181318483429777,5.119544575427539e-06,-0.21224513708721215,2.238271538162021e-06,-0.14727669138326274,-0.2136885282380571,-0.0808648545284684,1.607413120945358e-05,0.04192176946738657,5.11954457542754e-05
hyperactivity__adjustment,primary,hyperactivity,adjustment,488,-0.03500977964021952,-0.12338949028248043,0.05392093706188556,0.4403249973365295,-0.047489263482779605,0.29511223637138617,-0.026936583897976638,-0.09453231717889302,0.04065914938293974,0.43401646038868347,0.0012256846704569169,1.0
adhd_total__adjustment_change,secondary,adhd_total,adjustment_change,176,-0.22295158445067073,-0.3590311575972532,-0.07759037192350371,0.00293715263446865,-0.18825752572095403,0.01234465620529743,-0.04783966943092757,-0.08033842990408344,-0.01534090895777171,0.004144890231144202,0.049707409009064674,0.00293715263446865
inattention__adjustment_change,secondary,inattention,adjustment_change,176,-0.3276794073999967,-0.4536127029453075,-0.18891617597892646,9.022156795597527e-06,-0.2971251386170974,6.213836371414677e-05,-0.1218444439737488,-0.17703357590171012,-0.06665531204578748,2.244442593782131e-05,0.10737379403401293,1.8044313591195053e-05
inattention__depression,secondary,inattention,depression,506,0.4913087125290191,0.4222224377557782,0.5547205269924903,4.187986750604967e-32,0.4802905671015183,1.4631751686702971e-30,0.7570984428409719,0.6300942499602751,0.8841026357216688,3.450204995852523e-28,0.24138425100692218,1.6751947002419868e-31
inattention__anxiety,secondary,inattention,anxiety,506,0.4478084053325525,0.37528908296050273,0.5148788591231092,2.5228014708053784e-26,0.4437176016758175,8.015245871901471e-26,0.8540721338633463,0.7041078458195695,1.0040364219071232,4.128331488790934e-26,0.20053236788648365,7.568404412416136e-26
