,count,unique,top,freq,mean,std,min,25%,50%,75%,max
age,506.0,,,,18.42885375494071,0.7202017527808752,18.0,18.0,18.0,19.0,22.0
sex,506,3,female,412,,,,,,,
specify,11,4,non-binary,7,,,,,,,
home_language,506,24,english,298,,,,,,,
have_you_ever_experienced_any_mental_health_difficulties_or_symptoms_before_starting_university_e_g_in_primary_or_high_school,506,2,yes,327,,,,,,,
if_yes_please_list_these_difficulties_and_or_symptoms,497,293,n/a,72,,,,,,,
if_you_have_ever_experienced_difficulties_and_or_symptoms_of_a_mental_illness_how_old_were_you_when_this_started,506,137,n/a,77,,,,,,,
have_you_ever_been_diagnosed_with_a_mental_illness,506,3,no,296,,,,,,,
if_you_have_been_diagnosed_formally_or_informally_please_list_the_diagnosis_diagnoses,506,177,n/a,129,,,,,,,
was_this_diagnosis_made_before_or_after_you_left_high_school,506,3,not applicable,318,,,,,,,
if_you_have_been_diagnosed_with_a_mental_illness_at_what_age_was_this,506,102,n/a,150,,,,,,,
have_you_ever_used_prescribed_psychiatric_medication_for_a_mental_illness_or_symptoms_of_one,506,3,no,268,,,,,,,
are_you_currently_using_prescribed_psychiatric_medication_for_a_mental_illness_or_symptoms_of_one,506,3,no,314,,,,,,,
have_you_ever_been_to_therapy_or_counselling_for_a_mental_illness_or_symptoms_of_one,506,3,no,217,,,,,,,
are_you_currently_in_therapy_or_counselling_for_a_mental_illness_or_symptoms_of_one,506,3,no,379,,,,,,,
bdi1_item_1,506.0,,,,0.5177865612648221,0.8038766480280325,0.0,0.0,0.0,1.0,3.0
bdi1_item_2,506.0,,,,0.4782608695652174,0.7528965447256591,0.0,0.0,0.0,1.0,3.0
bdi1_item_3,506.0,,,,0.4525691699604743,0.7750588097508336,0.0,0.0,0.0,1.0,3.0
bdi1_item_4,506.0,,,,0.849802371541502,0.8658367214390854,0.0,0.0,1.0,1.0,3.0
bdi1_item_5,506.0,,,,0.7193675889328063,0.8374291134516125,0.0,0.0,1.0,1.0,3.0
bdi1_item_6,506.0,,,,0.45454545454545453,0.8849171191873185,0.0,0.0,0.0,1.0,3.0
bdi1_item_7,506.0,,,,0.4743083003952569,0.7786329832369243,0.0,0.0,0.0,1.0,3.0
bdi1_item_8,506.0,,,,0.9920948616600791,0.9270077268485476,0.0,0.0,1.0,2.0,3.0
bdi1_item_9,506.0,,,,0.34980237154150196,0.6278755319630867,0.0,0.0,0.0,1.0,3.0
bdi1_item_10,506.0,,,,0.9525691699604744,1.1611377657485895,0.0,0.0,0.0,2.0,3.0
bdi1_item_11,506.0,,,,0.83399209486166,0.9313626086805697,0.0,0.0,1.0,1.0,3.0
bdi1_item_12,506.0,,,,0.7905138339920948,0.9117434787786368,0.0,0.0,1.0,1.0,3.0
bdi1_item_13,506.0,,,,1.0889328063241106,1.050222063944041,0.0,0.0,1.0,2.0,3.0
bdi1_item_14,506.0,,,,0.6146245059288538,0.871838592855541,0.0,0.0,0.0,1.0,3.0
bdi1_item_15,506.0,,,,1.108695652173913,0.8217606540444209,0.0,1.0,1.0,2.0,3.0
bdi1_item_16,506.0,,,,1.2411067193675889,0.8450027596617357,0.0,1.0,1.0,2.0,3.0
bdi1_item_17,506.0,,,,0.6403162055335968,0.7426705216827073,0.0,0.0,1.0,1.0,3.0
bdi1_item_18,506.0,,,,1.0889328063241106,0.949202921179175,0.0,0.0,1.0,2.0,3.0
bdi1_item_19,506.0,,,,1.2272727272727273,0.8953826952857095,0.0,0.0,1.0,2.0,3.0
bdi1_item_20,506.0,,,,1.065217391304348,0.784563732068429,0.0,1.0,1.0,1.0,3.0
bdi1_item_21,506.0,,,,0.3715415019762846,0.8011751240910404,0.0,0.0,0.0,0.0,3.0
bdi1_total,506.0,,,,16.31225296442688,10.308572231339971,0.0,9.0,15.0,23.0,58.0
audit1_item_1,506.0,,,,1.1442687747035574,1.0628454051930045,0.0,0.0,1.0,2.0,4.0
audit1_item_2,506.0,,,,0.6225296442687747,0.9386140636628112,0.0,0.0,0.0,1.0,4.0
audit1_item_3,506.0,,,,0.567193675889328,0.8880007749302689,0.0,0.0,0.0,1.0,4.0
audit1_item_4,506.0,,,,0.18774703557312253,0.5889477638598785,0.0,0.0,0.0,0.0,4.0
audit1_item_5,506.0,,,,0.06719367588932806,0.38206166891094373,0.0,0.0,0.0,0.0,4.0
audit1_item_6,506.0,,,,0.4525691699604743,0.878073566550861,0.0,0.0,0.0,1.0,4.0
audit1_item_7,506.0,,,,0.29446640316205536,0.6676758950637768,0.0,0.0,0.0,0.0,4.0
audit1_item_8,506.0,,,,0.3241106719367589,1.0175157573425286,0.0,0.0,0.0,0.0,4.0
audit1_item_9,506.0,,,,0.1422924901185771,0.7199490365784391,0.0,0.0,0.0,0.0,4.0
audit1_total,506.0,,,,3.802371541501976,4.81956350559424,0.0,0.0,2.0,6.0,28.0
aas1_item_1,504.0,,,,3.484126984126984,1.217722849468354,1.0,2.0,4.0,4.0,5.0
aas1_item_2,505.0,,,,1.899009900990099,1.1800671767185302,1.0,1.0,1.0,3.0,5.0
aas1_item_3,505.0,,,,3.405940594059406,1.4042044139463712,1.0,2.0,4.0,5.0,5.0
aas1_item_4,505.0,,,,2.772277227722772,1.3575274275840958,1.0,2.0,3.0,4.0,5.0
aas1_item_5,499.0,,,,3.156312625250501,1.4083853976002507,1.0,2.0,3.0,4.0,5.0
aas1_item_6,504.0,,,,3.2738095238095237,1.336306209562122,1.0,2.0,4.0,4.0,5.0
aas1_item_7,503.0,,,,4.320079522862823,1.0780933413335139,1.0,4.0,5.0,5.0,5.0
aas1_item_8,506.0,,,,4.521739130434782,0.9315810786344565,1.0,4.0,5.0,5.0,5.0
aas1_item_9,505.0,,,,4.287128712871287,1.1575891208394453,1.0,4.0,5.0,5.0,5.0
aas1_total,506.0,,,,31.0,4.880756312111661,9.0,28.0,31.0,34.0,45.0
psy1004_grade,506.0,,,,60.519762845849804,11.200451049222204,28.0,52.0,61.0,69.0,88.0
nbt_completed,506,1,yes,506,,,,,,,
nbt_year,506.0,,,,2021.903162055336,0.30264491075003386,2020.0,2022.0,2022.0,2022.0,2022.0
nbt_al,506.0,,,,68.66403162055336,10.508354561730288,35.0,61.0,70.0,76.75,90.0
nbt_math,506.0,,,,28.59683794466403,26.32221344558007,0.0,0.0,32.0,49.0,97.0
nbt_ql,506.0,,,,54.98616600790514,14.725938801591848,29.0,43.0,53.0,65.0,95.0
nbt_ave,506.0,,,,58.66403162055336,11.298373261992852,33.0,50.0,57.0,66.0,89.0
nbt_did_math,290,2,yes,174,,,,,,,
nbt_alql_ave,506.0,,,,61.82509881422925,11.247949977799852,33.5,53.0,61.5,70.0,88.0
matric_mark,506.0,,,,74.31620553359684,6.359744548488463,58.0,69.0,74.0,79.0,92.0
asrs1_item_1,506.0,,,,1.924901185770751,1.0745906382066444,0.0,1.0,2.0,3.0,4.0
asrs1_item_2,506.0,,,,2.1739130434782608,1.1558680696358854,0.0,1.0,2.0,3.0,4.0
asrs1_item_3,506.0,,,,1.9407114624505928,1.1991922560941897,0.0,1.0,2.0,3.0,4.0
asrs1_item_4,506.0,,,,2.8201581027667983,1.1121599601380259,0.0,2.0,3.0,4.0,4.0
asrs1_item_5,506.0,,,,2.8715415019762847,1.2289013024427398,0.0,2.0,3.0,4.0,4.0
asrs1_item_6,506.0,,,,1.8517786561264822,1.2169458599943541,0.0,1.0,2.0,3.0,4.0
asrs1_item_7,506.0,,,,2.260869565217391,1.1306400687802,0.0,1.0,2.0,3.0,4.0
asrs1_item_8,506.0,,,,2.883399209486166,1.0226354550765253,0.0,2.0,3.0,4.0,4.0
asrs1_item_9,506.0,,,,1.9446640316205535,1.1844291710183261,0.0,1.0,2.0,3.0,4.0
asrs1_item_10,506.0,,,,2.005928853754941,1.1998202946619314,0.0,1.0,2.0,3.0,4.0
asrs1_item_11,506.0,,,,2.464426877470356,1.1343944900249399,0.0,2.0,2.0,3.0,4.0
asrs1_item_12,506.0,,,,0.5059288537549407,0.8186951867389808,0.0,0.0,0.0,1.0,4.0
asrs1_item_13,506.0,,,,2.217391304347826,1.2348784014548482,0.0,1.0,2.0,3.0,4.0
asrs1_item_14,506.0,,,,1.8181818181818181,1.3240148418843924,0.0,1.0,2.0,3.0,4.0
asrs1_item_15,506.0,,,,1.7727272727272727,1.2655868879761287,0.0,1.0,2.0,3.0,4.0
asrs1_item_16,506.0,,,,1.6007905138339922,1.254977956332354,0.0,1.0,1.0,2.0,4.0
asrs1_item_17,506.0,,,,1.3241106719367588,1.2193537078941414,0.0,0.0,1.0,2.0,4.0
asrs1_item_18,506.0,,,,1.2885375494071147,1.0935214420082509,0.0,0.25,1.0,2.0,4.0
asrs1_total.x,506.0,,,,35.6699604743083,11.50943507910005,0.0,27.25,35.0,43.75,70.0
bai1_item_1,506.0,,,,0.6007905138339921,0.8221677261301569,0.0,0.0,0.0,1.0,3.0
bai1_item_2,506.0,,,,1.199604743083004,0.9998414933275368,0.0,0.0,1.0,2.0,3.0
bai1_item_3,506.0,,,,0.6976284584980237,0.9170952358313447,0.0,0.0,0.0,1.0,3.0
bai1_item_4,506.0,,,,1.5158102766798418,1.0793961621318071,0.0,1.0,2.0,2.0,3.0
bai1_item_5,506.0,,,,1.849802371541502,1.0995813606943525,0.0,1.0,2.0,3.0,3.0
bai1_item_6,506.0,,,,1.1146245059288538,1.031534259262354,0.0,0.0,1.0,2.0,3.0
bai1_item_7,506.0,,,,1.3201581027667983,1.073657934862231,0.0,0.0,1.0,2.0,3.0
bai1_item_8,506.0,,,,0.9703557312252964,1.0535703898050754,0.0,0.0,1.0,2.0,3.0
bai1_item_9,506.0,,,,1.2272727272727273,1.098030312448935,0.0,0.0,1.0,2.0,3.0
bai1_item_10,506.0,,,,1.9466403162055337,0.9287053572949898,0.0,1.0,2.0,3.0,3.0
bai1_item_11,506.0,,,,0.34189723320158105,0.7576040642254658,0.0,0.0,0.0,0.0,3.0
bai1_item_12,506.0,,,,0.8735177865612648,1.0378053179189408,0.0,0.0,0.0,2.0,3.0
bai1_item_13,506.0,,,,0.8162055335968379,0.9522325144798852,0.0,0.0,1.0,1.0,3.0
bai1_item_14,506.0,,,,1.33201581027668,1.162296586162493,0.0,0.0,1.0,2.0,3.0
bai1_item_15,506.0,,,,0.7154150197628458,0.988067182994453,0.0,0.0,0.0,1.0,3.0
bai1_item_16,506.0,,,,0.5612648221343873,0.9673898642906822,0.0,0.0,0.0,1.0,3.0
bai1_item_17,506.0,,,,1.2984189723320159,1.0642142410470077,0.0,0.0,1.0,2.0,3.0
bai1_item_18,506.0,,,,0.7648221343873518,0.9940554340301854,0.0,0.0,0.0,1.0,3.0
bai1_item_19,506.0,,,,0.8656126482213439,1.0018415321806549,0.0,0.0,1.0,2.0,3.0
bai1_item_20,506.0,,,,0.5592885375494071,0.8773512611224221,0.0,0.0,0.0,1.0,3.0
bai1_item_21,506.0,,,,0.7905138339920948,1.0242548282891266,0.0,0.0,0.0,1.0,3.0
bai1_total,506.0,,,,21.209486166007906,12.758828779110555,0.0,11.0,20.0,30.0,62.0
asrs1_total.y,505.0,,,,21.36039603960396,12.7732365229574,0.0,11.0,20.0,30.0,62.0
aas_change,176.0,,,,-0.019396565199312068,2.260036865012794,-6.08099575724277,-1.604737892349139,0.1005031990389095,1.805744290426958,5.003071336779553
