model,outcome,term,n,coefficient,ci_low,ci_high,p,R_squared,adjusted_R_squared,unit
marks_joint_raw,course_mark,const,506,63.04456411941559,59.712064059788375,66.3770641790428,2.248558589500756e-146,0.026622331518503572,0.022752042578219278,per 1 raw point
marks_joint_raw,course_mark,inattention,506,-0.32348692081959163,-0.5110894471517441,-0.13588439448743914,0.000759912289787217,0.026622331518503572,0.022752042578219278,per 1 raw point
marks_joint_raw,course_mark,hyperactivity,506,0.26755441512034905,0.08369331394323754,0.4514155162974606,0.004425979199523395,0.026622331518503572,0.022752042578219278,per 1 raw point
marks_joint_sd,course_mark,const,506,60.51976284584979,59.54974002279062,61.48978566890896,0.0,0.026622331518503572,0.022752042578219278,per 1 SD (symptoms only)
marks_joint_sd,course_mark,inattention,506,-2.1640005015545434,-3.4189877512618922,-0.9090132518471947,0.0007599122897872325,0.026622331518503572,0.022752042578219278,per 1 SD (symptoms only)
marks_joint_sd,course_mark,hyperactivity,506,1.6818747627543353,0.5261048391561349,2.8376446863525358,0.004425979199523614,0.026622331518503572,0.022752042578219278,per 1 SD (symptoms only)
marks_adjusted_raw,course_mark,const,506,-21.879837635631333,-45.21883393295637,1.45915866169371,0.06608397759026297,0.2935882083200392,0.28652409040323956,per 1 raw point
marks_adjusted_raw,course_mark,inattention,506,-0.13965896929008553,-0.30256561921389746,0.023247680633726397,0.09273938854919869,0.2935882083200392,0.28652409040323956,per 1 raw point
marks_adjusted_raw,course_mark,hyperactivity,506,0.06695579420417458,-0.09687044747216822,0.23078203588051738,0.422367182843727,0.2935882083200392,0.28652409040323956,per 1 raw point
marks_adjusted_raw,course_mark,age,506,0.996045841968213,-0.15514130602570164,2.1472329899621276,0.08976380133948163,0.2935882083200392,0.28652409040323956,per 1 raw point
marks_adjusted_raw,course_mark,matric_mark,506,0.7461855798598516,0.5954240448470012,0.896947114872702,1.38147705728316e-20,0.2935882083200392,0.28652409040323956,per 1 raw point
marks_adjusted_raw,course_mark,nbt_alql,506,0.16854784244274176,0.08765348249098386,0.24944220239449966,4.9518634603796456e-05,0.2935882083200392,0.28652409040323956,per 1 raw point
marks_adjusted_sd,course_mark,const,506,-23.710388242017842,-46.56958515851977,-0.8511913255159165,0.042087882411888176,0.29358820832003907,0.28652409040323945,per 1 SD (symptoms only)
marks_adjusted_sd,course_mark,inattention,506,-0.9342636754049236,-2.0240452073708086,0.15551785656096162,0.09273938854920326,0.29358820832003907,0.28652409040323945,per 1 SD (symptoms only)
marks_adjusted_sd,course_mark,hyperactivity,506,0.42089105665296067,-0.6089376652105769,1.4507197785164982,0.4223671828437535,0.29358820832003907,0.28652409040323945,per 1 SD (symptoms only)
marks_adjusted_sd,course_mark,age,506,0.996045841968205,-0.15514130602571052,2.1472329899621205,0.08976380133948447,0.29358820832003907,0.28652409040323945,per 1 SD (symptoms only)
marks_adjusted_sd,course_mark,matric_mark,506,0.7461855798598539,0.5954240448470033,0.8969471148727045,1.38147705728298e-20,0.29358820832003907,0.28652409040323945,per 1 SD (symptoms only)
marks_adjusted_sd,course_mark,nbt_alql,506,0.16854784244274162,0.08765348249098362,0.24944220239449963,4.951863460379818e-05,0.29358820832003907,0.28652409040323945,per 1 SD (symptoms only)
adjustment_joint_raw,adjustment,const,488,33.73808876125557,32.296907900775714,35.17926962173542,5.410263610985049e-179,0.05167793508330787,0.04776732863004318,per 1 raw point
adjustment_joint_raw,adjustment,inattention,488,-0.1963124142549415,-0.2741487461657855,-0.11847608234409752,9.979280219951804e-07,0.05167793508330787,0.04776732863004318,per 1 raw point
adjustment_joint_raw,adjustment,hyperactivity,488,0.09233917685980447,0.013613393795486761,0.17106495992412218,0.021608527205198364,0.05167793508330787,0.04776732863004318,per 1 raw point
adjustment_adjusted_raw,adjustment,const,488,17.81651501798879,6.104660379675698,29.528369656301884,0.0029411570524799837,0.06729231618078668,0.057616925269799,per 1 raw point
adjustment_adjusted_raw,adjustment,inattention,488,-0.18438742495581084,-0.2655004457725927,-0.10327440413902902,9.909429611388772e-06,0.06729231618078668,0.057616925269799,per 1 raw point
adjustment_adjusted_raw,adjustment,hyperactivity,488,0.08304921431339984,0.0024994547459731287,0.16359897388082656,0.04332861397178089,0.06729231618078668,0.057616925269799,per 1 raw point
adjustment_adjusted_raw,adjustment,age,488,0.8306575800734874,0.2756375410529571,1.3856776190940177,0.00343198239838988,0.06729231618078668,0.057616925269799,per 1 raw point
adjustment_adjusted_raw,adjustment,matric_mark,488,-0.00030304532399388906,-0.07189066548712475,0.07128457483913697,0.9933668558815826,0.06729231618078668,0.057616925269799,per 1 raw point
adjustment_adjusted_raw,adjustment,nbt_alql,488,0.008670596983018503,-0.030899934116491612,0.04824112808252862,0.6669927321355446,0.06729231618078668,0.057616925269799,per 1 raw point
change_adjusted_raw,adjustment_change,const,176,2.405842035849256,-8.248252694582542,13.059936766281053,0.656337582669176,0.12909366359570873,0.10347877134852379,per 1 raw point
change_adjusted_raw,adjustment_change,inattention,176,-0.1586886625638387,-0.22835296513002828,-0.08902435999764914,1.2739384751888716e-05,0.12909366359570873,0.10347877134852379,per 1 raw point
change_adjusted_raw,adjustment_change,hyperactivity,176,0.06641979607669946,0.004848154010325706,0.1279914381430732,0.034656403368776706,0.12909366359570873,0.10347877134852379,per 1 raw point
